rank,ticker,composite_score,momentum,volume,news,social,fundamentals,capitol_hill,price_usd,llm_reason,run_timestamp
34,AMZN,6.0044,3.1895,0.0,10.0,6.0,6.4434,10.0,265.82,Composite score ranking (LLM output malformed),20260513_084440
35,FCX,6.0007,10.0,0.0,10.0,2.4,5.9378,5.0,66.03,Composite score ranking (LLM output malformed),20260513_084440
36,SMCI,5.9855,8.5939,0.0,10.0,1.2,8.9113,5.0,32.79,Composite score ranking (LLM output malformed),20260513_084440
37,STE,5.9448,4.3032,4.0499,10.0,0.0,6.5113,10.0,210.85,Composite score ranking (LLM output malformed),20260513_084440
38,SITM,5.9431,10.0,1.2039,10.0,0.0,6.75,5.0,847.19,Composite score ranking (LLM output malformed),20260513_084440
39,RARE,5.9416,7.7657,0.0,10.0,6.0,4.923,5.0,26.84,Composite score ranking (LLM output malformed),20260513_084440
40,LIFE,5.8972,5.0,1.7525,10.0,6.0,6.5625,5.0,25.65,Composite score ranking (LLM output malformed),20260513_084440
41,WDC,5.8665,6.2457,0.0,10.0,4.8,7.6489,5.0,488.74,Composite score ranking (LLM output malformed),20260513_084440
42,OUT,5.8578,6.5971,1.3041,10.0,6.0,4.6182,5.0,31.84,Composite score ranking (LLM output malformed),20260513_084440
43,SPGI,5.8459,5.0389,0.5304,10.0,2.4,5.9906,10.0,424.17,Composite score ranking (LLM output malformed),20260513_084440
44,DOC,5.8098,10.0,0.0,9.375,2.4,5.4985,5.0,19.78,Composite score ranking (LLM output malformed),20260513_084440
45,PL,5.8092,6.867,0.0,10.0,4.8,6.4385,5.0,40.68,Composite score ranking (LLM output malformed),20260513_084440
46,GOLD,5.7934,4.4546,0.6595,10.0,6.0,7.6901,5.0,42.16,Composite score ranking (LLM output malformed),20260513_084440
47,ST,5.7817,6.846,0.0,10.0,3.6,4.4835,8.0,44.51,Composite score ranking (LLM output malformed),20260513_084440
48,SCCO,5.7813,8.9871,1.1465,10.0,0.0,7.0795,5.0,191.75,Composite score ranking (LLM output malformed),20260513_084440
49,LHX,5.7767,6.4939,0.0,10.0,6.0,5.5191,5.0,309.47,Composite score ranking (LLM output malformed),20260513_084440
50,INTC,5.7713,7.5478,0.3262,10.0,6.0,5.252,3.5,120.61,Composite score ranking (LLM output malformed),20260513_084440
